datetime,station_antwerp,station_paris,station_london
2019-04-19 15:00:00,,17.2,40.0
2019-04-19 16:00:00,,14.6,42.0
2019-04-19 17:00:00,,13.4,42.0
2019-04-19 18:00:00,,14.6,47.0
2019-04-19 19:00:00,,15.4,49.0
2019-04-19 20:00:00,,20.2,53.0
2019-04-19 21:00:00,,34.1,58.0
2019-04-19 22:00:00,,78.4,57.0
2019-04-19 23:00:00,,96.9,77.0
2019-04-20 00:00:00,,90.4,77.0
2019-04-20 01:00:00,,70.2,59.0
2019-04-20 02:00:00,,21.0,59.0
2019-04-20 03:00:00,,14.5,44.0
2019-04-20 04:00:00,,12.7,44.0
2019-04-20 05:00:00,,17.2,32.0
2019-04-20 06:00:00,,31.5,32.0
2019-04-20 07:00:00,,45.9,33.0
2019-04-20 08:00:00,,67.1,34.0
2019-04-20 09:00:00,,64.5,37.0
2019-04-20 10:00:00,,46.3,37.0
2019-04-20 11:00:00,,44.0,37.0
2019-04-20 12:00:00,,39.8,45.0
2019-04-20 13:00:00,,28.6,40.0
2019-04-20 14:00:00,,14.6,38.0
2019-04-20 15:00:00,,10.4,41.0
2019-04-20 16:00:00,,9.8,46.0
2019-04-20 17:00:00,,10.0,48.0
2019-04-20 18:00:00,,12.7,51.0
2019-04-20 19:00:00,,16.2,53.0
2019-04-20 20:00:00,,14.8,52.0
2019-04-20 21:00:00,,22.9,49.0
2019-04-20 22:00:00,,39.2,50.0
2019-04-20 23:00:00,,52.9,52.0
2019-04-21 00:00:00,,52.8,52.0
2019-04-21 01:00:00,,49.2,54.0
2019-04-21 02:00:00,,40.5,54.0
2019-04-21 03:00:00,18.0,38.2,57.0
2019-04-21 04:00:00,15.0,28.7,57.0
2019-04-21 05:00:00,,27.5,41.0
2019-04-21 06:00:00,,24.9,41.0
2019-04-21 07:00:00,,28.8,36.0
2019-04-21 08:00:00,,34.0,38.0
2019-04-21 09:00:00,,33.8,38.0
2019-04-21 10:00:00,,39.3,43.0
2019-04-21 11:00:00,,21.5,46.0
2019-04-21 12:00:00,,15.6,46.0
2019-04-21 13:00:00,,15.7,45.0
2019-04-21 14:00:00,,12.1,41.0
2019-04-21 15:00:00,,9.8,41.0
2019-04-21 16:00:00,,9.3,42.0
2019-04-21 17:00:00,,9.4,45.0
2019-04-21 18:00:00,,15.4,45.0
2019-04-21 19:00:00,,15.6,40.0
2019-04-21 20:00:00,,20.8,38.0
2019-04-21 21:00:00,,45.6,39.0
2019-04-21 22:00:00,,75.6,42.0
2019-04-21 23:00:00,,101.1,46.0
2019-04-22 00:00:00,,117.2,46.0
2019-04-22 01:00:00,,105.2,46.0
2019-04-22 02:00:00,,116.4,46.0
2019-04-22 03:00:00,24.5,99.0,39.0
2019-04-22 04:00:00,,88.7,39.0
2019-04-22 05:00:00,,87.9,41.0
2019-04-22 06:00:00,,80.2,41.0
2019-04-22 07:00:00,,69.8,44.0
2019-04-22 08:00:00,,65.7,53.0
2019-04-22 09:00:00,,51.4,45.0
2019-04-22 10:00:00,,63.7,48.0
2019-04-22 11:00:00,,44.4,49.0
2019-04-22 12:00:00,,43.5,49.0
2019-04-22 13:00:00,,29.2,46.0
2019-04-22 14:00:00,,18.2,39.0
2019-04-22 15:00:00,,15.9,41.0
2019-04-22 16:00:00,,8.9,52.0
2019-04-22 17:00:00,,11.9,57.0
2019-04-22 18:00:00,,13.9,57.0
2019-04-22 19:00:00,,12.9,64.0
2019-04-22 20:00:00,,15.3,66.0
2019-04-22 21:00:00,,26.1,66.0
2019-04-22 22:00:00,,31.4,73.0
2019-04-22 23:00:00,,38.4,84.0
2019-04-23 00:00:00,,44.5,84.0
2019-04-23 01:00:00,,45.6,75.0
2019-04-23 02:00:00,,35.7,75.0
2019-04-23 03:00:00,,29.2,51.0
2019-04-23 04:00:00,,32.4,51.0
2019-04-23 05:00:00,,32.1,52.0
2019-04-23 06:00:00,,37.2,52.0
2019-04-23 07:00:00,,49.2,52.0
2019-04-23 08:00:00,,74.7,62.0
2019-04-23 09:00:00,,86.0,63.0
2019-04-23 10:00:00,,60.7,61.0
2019-04-23 11:00:00,,51.9,63.0
2019-04-23 12:00:00,,47.9,67.0
2019-04-23 13:00:00,,51.8,67.0
2019-04-23 14:00:00,,54.1,54.0
2019-04-23 15:00:00,,53.2,50.0
2019-04-23 16:00:00,,48.8,53.0
2019-04-23 17:00:00,,44.5,53.0
2019-04-23 18:00:00,,52.9,62.0
2019-04-23 19:00:00,,35.7,55.0
2019-04-23 20:00:00,,33.0,48.0
2019-04-23 21:00:00,,33.7,50.0
2019-04-23 22:00:00,,38.1,55.0
2019-04-23 23:00:00,,41.2,53.0
2019-04-24 00:00:00,,47.0,53.0
2019-04-24 01:00:00,,48.8,55.0
2019-04-24 02:00:00,,43.8,
2019-04-24 03:00:00,,26.4,60.0
2019-04-24 04:00:00,,21.2,60.0
2019-04-24 05:00:00,,18.5,45.0
2019-04-24 06:00:00,,18.0,45.0
2019-04-24 07:00:00,,27.5,50.0
